
> dev
> next dev

▲ Next.js 16.3.3 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://10.0.0.178:3000
- Environments: .env.local
✓ Ready in 291ms
✓ Running next.config.ts took 21ms
- Cache Components enabled

 GET /api/games/6df80e66-04d8-4a36-879c-ebaa5c598f54 200 in 20ms (next.js: 4ms, proxy.ts: 3ms, application-code: 14ms)
 GET /api/games/34f1a865-cdd1-4935-b85a-9c9893884d35 200 in 20ms (next.js: 1.8ms, proxy.ts: 3ms, application-code: 15ms)
 GET /api/games/34f1a865-cdd1-4935-b85a-9c9893884d35 200 in 26ms (next.js: 4ms, proxy.ts: 5ms, application-code: 17ms)
 GET /api/games/6df80e66-04d8-4a36-879c-ebaa5c598f54 200 in 21ms (next.js: 3ms, proxy.ts: 3ms, application-code: 16ms)
 GET /api/games/6df80e66-04d8-4a36-879c-ebaa5c598f54 200 in 19ms (next.js: 3ms, proxy.ts: 2ms, application-code: 13ms)
 GET /api/games/34f1a865-cdd1-4935-b85a-9c9893884d35 200 in 22ms (next.js: 2ms, proxy.ts: 5ms, application-code: 15ms)
 GET /api/games/34f1a865-cdd1-4935-b85a-9c9893884d35 200 in 18ms (next.js: 3ms, proxy.ts: 2ms, application-code: 13ms)
 GET /api/games/6df80e66-04d8-4a36-879c-ebaa5c598f54 200 in 16ms (next.js: 1.9ms, proxy.ts: 3ms, application-code: 11ms)
 GET /api/games/34f1a865-cdd1-4935-b85a-9c9893884d35 200 in 16ms (next.js: 3ms, proxy.ts: 3ms, application-code: 10ms)
 GET /api/games/6df80e66-04d8-4a36-879c-ebaa5c598f54 200 in 23ms (next.js: 2ms, proxy.ts: 4ms, application-code: 17ms)
 GET /game/34f1a865-cdd1-4935-b85a-9c9893884d35 200 in 31ms (next.js: 3ms, proxy.ts: 3ms, generate-params: 1.3ms, application-code: 24ms)
 GET /api/games/34f1a865-cdd1-4935-b85a-9c9893884d35 200 in 23ms (next.js: 3ms, proxy.ts: 3ms, application-code: 17ms)
 GET /api/games/6df80e66-04d8-4a36-879c-ebaa5c598f54 200 in 17ms (next.js: 2ms, proxy.ts: 3ms, application-code: 12ms)
 GET /api/games/34f1a865-cdd1-4935-b85a-9c9893884d35 200 in 29ms (next.js: 5ms, proxy.ts: 3ms, application-code: 22ms)
 GET /api/games/6df80e66-04d8-4a36-879c-ebaa5c598f54 200 in 18ms (next.js: 1.8ms, proxy.ts: 3ms, application-code: 13ms)
 GET /api/games/34f1a865-cdd1-4935-b85a-9c9893884d35 200 in 19ms (next.js: 4ms, proxy.ts: 3ms, application-code: 13ms)
 GET /api/games/6df80e66-04d8-4a36-879c-ebaa5c598f54 200 in 16ms (next.js: 2ms, proxy.ts: 2ms, application-code: 11ms)
 GET /api/games/34f1a865-cdd1-4935-b85a-9c9893884d35 200 in 22ms (next.js: 4ms, proxy.ts: 3ms, application-code: 16ms)
 GET /g 404 in 227ms (next.js: 192ms, proxy.ts: 2ms, application-code: 32ms)
 GET /api/games/6df80e66-04d8-4a36-879c-ebaa5c598f54 200 in 16ms (next.js: 1.9ms, proxy.ts: 3ms, application-code: 11ms)
 GET /api/games/6df80e66-04d8-4a36-879c-ebaa5c598f54 200 in 17ms (next.js: 4ms, proxy.ts: 3ms, application-code: 10ms)
 GET /api/games/6df80e66-04d8-4a36-879c-ebaa5c598f54 200 in 19ms (next.js: 3ms, proxy.ts: 5ms, application-code: 11ms)
 GET /api/games/6df80e66-04d8-4a36-879c-ebaa5c598f54 200 in 23ms (next.js: 4ms, proxy.ts: 4ms, application-code: 15ms)
 GET /api/games/6df80e66-04d8-4a36-879c-ebaa5c598f54 200 in 20ms (next.js: 4ms, proxy.ts: 3ms, application-code: 13ms)
 GET /api/games/6df80e66-04d8-4a36-879c-ebaa5c598f54 200 in 21ms (next.js: 5ms, proxy.ts: 4ms, application-code: 12ms)
 GET / 200 in 29ms (next.js: 3ms, proxy.ts: 3ms, application-code: 22ms)
 GET /api/me 200 in 64ms (next.js: 5ms, proxy.ts: 44ms, application-code: 15ms)
 GET /api/games/6df80e66-04d8-4a36-879c-ebaa5c598f54 200 in 68ms (next.js: 15ms, proxy.ts: 43ms, application-code: 11ms)
